,date,price1
0,2022-01-07,-5.400598039021168
1,2022-01-07,-5.400598039021168
2,2022-01-07,-5.400598039021168
3,2022-01-07,-5.400598039021168
4,2022-01-07,-5.400598039021168
5,2022-01-07,-5.400598039021168
6,2022-01-07,-5.400598039021168
7,2022-01-07,-5.400598039021168
8,2022-01-07,-5.400598039021168
9,2022-01-07,-5.400598039021168
10,2022-01-07,-5.400598039021168
11,2022-01-07,-5.400598039021168
12,2022-01-07,-5.400598039021168
13,2022-01-07,-5.400598039021168
14,2022-01-07,-5.400598039021168
15,2022-01-07,-5.400598039021168
16,2022-01-07,-5.400598039021168
17,2022-01-07,-5.400598039021168
18,2022-01-07,-5.400598039021168
19,2022-01-07,-5.400598039021168
20,2022-01-07,-5.400598039021168
21,2022-01-07,-5.400598039021168
22,2022-01-07,-5.400598039021168
23,2022-01-07,-5.400598039021168
24,2022-01-07,-5.400598039021168
25,2022-01-07,-5.400598039021168
26,2022-01-07,-5.400598039021168
27,2022-01-07,-5.400598039021168
28,2022-01-07,-5.400598039021168
29,2022-01-07,-5.400598039021168
30,2022-01-07,-5.400598039021168
31,2022-01-07,-6.085456689814818
32,2022-01-07,6.49875699404761
33,2022-01-07,6.543168105158721
34,2022-01-07,-14.544825558862525
35,2022-01-07,9.398828204365078
36,2022-01-07,16.801570803571394
37,2022-01-07,14.563001094576688
38,2022-01-07,11.697253961640193
39,2022-01-07,0.3389210317460367
40,2022-01-07,-0.8955665509259183
41,2022-01-07,-1.0769914351851761
42,2022-01-07,-4.879581382275135
43,2022-01-07,-8.235634189814851
44,2022-01-07,-8.511659282407443
45,2022-01-07,-9.774283587963
46,2022-01-07,-11.117309447751355
47,2022-01-07,-11.117309447751355
48,2022-01-07,-11.117309447751355
49,2022-01-07,-11.117309447751355
50,2022-01-07,-11.050478197751355
51,2022-01-07,-8.511659282407443
52,2022-01-07,-8.47750918981485
53,2022-01-07,-7.91222189153442
54,2022-01-07,-2.2274678571428534
55,2022-01-07,-0.8955665509259183
56,2022-01-07,-0.35546388888888153
57,2022-01-07,4.252946114418
58,2022-01-07,14.008524474206322
59,2022-01-07,16.036953998015832
60,2022-01-07,16.17855269841266
61,2022-01-07,7.203508574735445
62,2022-01-07,6.278939236111106
63,2022-01-07,6.49875699404761
64,2022-01-07,-17.12213905092609
65,2022-01-07,-5.1847813723544975
66,2022-01-07,-5.400598039021168
67,2022-01-07,-5.400598039021168
68,2022-01-07,-5.400598039021168
69,2022-01-07,-5.400598039021168
70,2022-01-07,-5.400598039021168
71,2022-01-07,-5.400598039021168
72,2022-01-07,-5.400598039021168
73,2022-01-07,-5.400598039021168
74,2022-01-07,-5.400598039021168
75,2022-01-07,-5.400598039021168
76,2022-01-07,-5.400598039021168
77,2022-01-07,-5.400598039021168
78,2022-01-07,-5.400598039021168
79,2022-01-07,-5.400598039021168
80,2022-01-07,-5.400598039021168
81,2022-01-07,-5.400598039021168
82,2022-01-07,-5.400598039021168
83,2022-01-07,-5.400598039021168
84,2022-01-07,-5.400598039021168
85,2022-01-07,-5.400598039021168
86,2022-01-07,-5.400598039021168
87,2022-01-07,-5.400598039021168
88,2022-01-07,-5.400598039021168
89,2022-01-07,-5.400598039021168
90,2022-01-07,-5.400598039021168
91,2022-01-07,-5.400598039021168
92,2022-01-07,-5.400598039021168
93,2022-01-07,-5.400598039021168
94,2022-01-07,-5.400598039021168
95,2022-01-07,-5.400598039021168
