iter	Passed	Remaining
436	1372	1139
437	1374	1135
438	1376	1131
439	1378	1127
440	1380	1123
441	1382	1120
442	1384	1115
443	1386	1111
444	1388	1107
445	1391	1104
446	1394	1100
447	1396	1097
448	1398	1093
449	1400	1089
450	1403	1085
451	1405	1081
452	1407	1078
453	1409	1074
454	1411	1070
455	1413	1066
456	1415	1062
457	1418	1058
458	1420	1055
459	1422	1051
460	1424	1047
461	1427	1044
462	1429	1040
463	1431	1036
464	1433	1032
465	1435	1029
466	1438	1025
467	1440	1021
468	1442	1017
469	1444	1014
470	1446	1010
471	1448	1006
472	1451	1003
473	1454	1000
474	1456	996
475	1458	992
476	1460	988
477	1463	985
478	1465	982
479	1469	979
480	1471	976
481	1473	972
482	1475	968
483	1477	964
484	1480	961
485	1484	958
486	1486	955
487	1489	952
488	1491	948
489	1493	945
490	1496	941
491	1499	938
492	1512	941
493	1514	938
494	1518	935
495	1520	932
496	1522	928
497	1524	924
498	1527	921
499	1529	917
500	1533	915
501	1535	911
502	1538	908
503	1540	904
504	1542	901
505	1545	897
506	1548	895
507	1551	891
508	1553	888
509	1555	884
510	1557	881
511	1559	877
512	1562	874
513	1566	871
514	1568	868
515	1571	865
516	1574	861
517	1576	858
518	1580	855
519	1583	852
520	1585	849
521	1587	845
522	1589	842
523	1591	838
524	1593	834
525	1598	832
526	1600	829
527	1603	825
528	1605	822
529	1607	818
530	1609	815
531	1615	813
532	1617	810
533	1619	806
534	1621	803
535	1623	799
536	1626	796
537	1630	794
538	1633	790
539	1635	787
540	1637	783
541	1639	780
542	1641	776
543	1645	774
544	1648	771
545	1650	767
546	1652	764
547	1654	760
548	1656	757
549	1660	754
550	1663	751
551	1666	748
552	1668	745
553	1670	741
554	1672	738
555	1675	735
556	1678	732
557	1681	729
558	1683	725
559	1685	722
560	1687	718
561	1692	716
562	1695	713
563	1697	710
564	1699	706
565	1701	703
566	1703	700
567	1706	696
568	1709	694
569	1712	690
570	1714	687
571	1716	684
572	1718	680
573	1721	677
574	1736	679
575	1738	676
576	1741	672
577	1743	669
578	1745	666
579	1747	662
580	1749	659
581	1752	656
582	1754	653
583	1757	649
584	1759	646
585	1761	643
586	1764	640
587	1766	636
588	1768	633
589	1770	630
590	1772	626
591	1774	623
592	1777	620
593	1779	617
594	1782	614
595	1784	610
596	1787	607
597	1788	604
598	1791	601
599	1792	597
600	1795	594
601	1797	591
602	1799	587
603	1801	584
604	1803	581
605	1806	578
606	1808	574
607	1810	571
608	1812	568
609	1814	565
610	1817	562
611	1819	558
612	1821	555
613	1823	552
614	1826	549
615	1828	546
616	1830	542
617	1832	539
618	1834	536
619	1836	533
620	1840	530
621	1843	527
622	1845	524
623	1847	521
624	1850	518
625	1852	514
626	1854	511
627	1857	508
628	1859	505
629	1861	502
630	1863	499
631	1865	495
632	1868	492
633	1870	489
634	1872	486
635	1874	483
636	1876	480
637	1879	477
638	1881	474
639	1884	471
640	1886	467
641	1888	464
642	1890	461
643	1892	458
644	1894	455
645	1897	452
646	1900	449
647	1902	446
648	1904	443
649	1906	440
650	1908	436
651	1911	433
652	1913	430
653	1916	427
654	1919	424
655	1921	421
656	1923	418
657	1926	415
658	1929	412
659	1932	409
660	1934	406
661	1937	403
662	1940	400
663	1942	397
664	1945	394
665	1948	391
666	1950	388
667	1953	385
668	1955	382
669	1959	380
670	1962	377
671	1965	374
672	1967	371
673	1970	368
674	1973	365
675	1976	362
676	1978	359
677	1981	356
678	1983	353
679	1986	350
680	1990	347
681	1992	344
682	1994	341
683	1997	338
684	1999	335
685	2002	332
686	2004	329
687	2007	326
688	2009	323
689	2011	320
690	2013	317
691	2016	314
692	2018	311
693	2021	308
694	2024	305
695	2027	302
696	2032	300
697	2034	297
698	2036	294
699	2038	291
700	2041	288
701	2044	285
702	2047	282
703	2050	279
704	2052	276
705	2055	273
706	2057	270
707	2061	267
708	2064	264
709	2066	261
710	2068	258
711	2070	255
712	2072	252
713	2075	250
714	2079	247
