iter	RMSE
0	230.6140391
1	222.3948326
2	214.6538394
3	207.5709333
4	200.9024499
5	194.484825
6	188.6426487
7	182.889629
8	177.428583
9	172.3335635
10	167.4882198
11	163.369502
12	159.2168407
13	155.2298026
14	151.6068751
15	148.1964319
16	144.8133394
17	141.7578303
18	138.8510342
19	136.3162973
20	134.0547808
21	131.7841678
22	129.6397524
23	127.5695761
24	125.5879164
25	123.7999046
26	121.8659693
27	120.0479193
28	118.4083155
29	116.712156
30	115.2053869
31	113.8601554
32	112.7170212
33	111.5976692
34	110.5029645
35	109.4629003
36	108.5916021
37	107.6596522
38	106.8435096
39	106.0751481
40	105.2703618
41	104.575029
42	103.7975214
43	103.205873
44	102.4020945
45	101.8177209
46	101.1905971
47	100.6568971
48	100.0316884
49	99.62184764
50	99.0578378
51	98.65486978
52	98.28515708
53	97.88469186
54	97.40619978
55	96.98073346
56	96.44312068
57	96.06296713
58	95.5920534
59	95.20508079
60	94.82693545
61	94.52944657
62	94.18590284
63	93.67932561
64	93.38788402
65	92.94735305
66	92.54034651
67	92.16021449
68	91.74016744
69	91.33111324
70	91.0560234
71	90.59145863
72	90.32606195
73	90.05294286
74	89.79116545
75	89.47529597
76	89.16135519
77	88.79698265
78	88.5265197
79	88.19261637
80	87.95504796
81	87.63654434
82	87.26259833
83	86.98317619
84	86.76041601
85	86.49646317
86	86.24956068
87	85.98586885
88	85.84386982
89	85.64849301
90	85.43223872
91	85.26579058
92	84.99287271
93	84.60752863
94	84.41487019
95	84.11597298
96	83.88857749
97	83.63888511
98	83.37246993
99	83.19640537
100	82.95615947
101	82.79492066
102	82.53656344
103	82.34682941
104	82.11183692
105	81.87908457
106	81.65606361
107	81.41203368
108	81.26567279
109	81.08995998
110	80.83631077
111	80.70584345
112	80.51324784
113	80.23278725
114	79.97212285
115	79.76832532
116	79.57888684
117	79.37030818
118	79.08685147
119	78.81424139
120	78.45176397
121	78.17695976
122	78.01401514
123	77.8172999
124	77.62760347
125	77.42304966
126	77.26656774
127	77.08922003
128	76.87859279
129	76.74050388
130	76.56639263
131	76.30830569
132	76.14426241
133	76.03013132
134	75.86276564
135	75.63881595
136	75.42488989
137	75.27210851
138	75.02612689
139	74.78686961
140	74.65141744
141	74.44206158
142	74.3006811
143	74.08813499
144	73.91693821
145	73.81778657
146	73.64835449
147	73.47179296
148	73.34551236
149	73.17619755
150	73.03525805
151	72.90057529
152	72.80466418
153	72.68127599
154	72.48211321
155	72.31588585
156	72.17141698
157	72.069277
158	71.78850456
159	71.58010808
160	71.41840184
161	71.27644894
162	71.08728164
163	70.89710077
164	70.7468877
165	70.65254361
166	70.52483269
167	70.35796118
168	70.2205454
169	69.98174553
170	69.87853777
171	69.78225777
172	69.64209479
173	69.42955396
174	69.2099444
175	69.03099432
176	68.75296385
177	68.58542284
178	68.40963733
179	68.19939537
180	68.00991406
181	67.90915124
182	67.80713507
183	67.62150426
184	67.41088134
185	67.23303402
186	67.09843177
187	66.95561363
188	66.81968601
189	66.69651328
190	66.44405089
191	66.2572689
192	66.12376804
193	65.97126449
194	65.79183249
195	65.63752929
196	65.53303599
197	65.32393252
198	65.21332326
199	65.05761782
200	64.85033406
201	64.78612006
202	64.58737273
203	64.45898439
204	64.26756025
205	64.10931372
206	63.99299482
207	63.78155511
208	63.66658306
209	63.5463611
210	63.35541979
211	63.2145556
212	63.02137924
213	62.82094378
214	62.72644229
215	62.48476543
216	62.40432732
217	62.15916399
218	62.00257521
219	61.89575359
220	61.73880498
221	61.63181686
222	61.49619253
223	61.35267542
224	61.17341795
225	61.04113734
226	60.9183916
227	60.76949066
228	60.63873618
229	60.55696544
230	60.41164939
231	60.32160961
232	60.20368686
233	60.08066047
234	59.94619264
235	59.82541307
236	59.71684681
237	59.60566023
238	59.47050488
239	59.27169877
240	59.1176151
241	59.00951363
242	58.93022412
243	58.81844351
244	58.75374853
245	58.64859473
246	58.59153172
247	58.51490156
248	58.31497035
249	58.22966107
250	58.11752523
251	58.04656434
252	57.98395505
253	57.87595379
254	57.83727312
255	57.70316383
256	57.61275846
257	57.54836748
258	57.47362216
259	57.30620273
260	57.14181146
261	57.05213666
262	56.95053651
263	56.845341
264	56.70753017
265	56.56370132
266	56.50215064
267	56.39945168
268	56.25215206
269	56.08271465
270	55.94824699
271	55.83378587
272	55.69619945
273	55.60277808
274	55.47131527
275	55.36458062
276	55.25758177
277	55.17699515
278	55.05549949
279	54.89854545
280	54.83710172
281	54.78052372
282	54.67499315
283	54.58756468
284	54.49569648
285	54.40316594
286	54.34691649
287	54.2031957
288	54.1256876
289	54.01038501
290	53.91422149
291	53.75915457
292	53.67769095
293	53.56459415
294	53.48378026
295	53.41031645
296	53.32146614
297	53.24403114
298	53.11254026
299	52.96827773
300	52.88944114
301	52.83217847
302	52.67764409
303	52.61432837
304	52.54030338
305	52.44750664
306	52.3316829
307	52.2033481
308	52.09279566
309	52.01089386
310	51.94275415
311	51.88274035
312	51.77721308
313	51.6532259
314	51.58717378
315	51.51522988
316	51.42300504
317	51.25591646
318	51.21284054
319	51.10838034
320	51.03833397
321	50.93236367
322	50.82792014
323	50.72818672
324	50.6440022
325	50.55088681
326	50.49676637
327	50.40600952
328	50.28442493
329	50.23256062
330	50.15489053
331	50.08919023
332	50.02999017
333	49.97500695
334	49.92627816
335	49.86817581
336	49.79596402
337	49.69132316
338	49.62530033
339	49.56013202
340	49.46210867
341	49.42017288
342	49.33508591
343	49.26162369
344	49.16819361
345	49.08388969
346	49.00562112
347	48.84180707
348	48.74937734
349	48.65944469
350	48.54430143
351	48.47918273
352	48.35683195
353	48.28316449
354	48.19373314
355	48.11335296
356	48.04710034
357	47.96333579
358	47.89061528
359	47.81908479
360	47.73476095
361	47.64985144
362	47.51163548
363	47.43207253
364	47.37558449
365	47.2726623
366	47.2171052
367	47.15121408
368	47.02440662
369	46.96588207
370	46.90123199
371	46.8544734
372	46.78678055
373	46.72985007
374	46.63795882
375	46.58130956
376	46.55153003
377	46.45733455
378	46.39927414
379	46.36911136
380	46.31432691
381	46.2273249
382	46.13455322
383	46.02232694
384	45.94326689
385	45.86718543
386	45.8092287
387	45.77697121
388	45.72298035
389	45.59876732
390	45.46864512
391	45.39963004
392	45.28915915
393	45.19076019
394	45.11123086
395	45.02397072
396	44.92346842
397	44.83417183
398	44.76044984
399	44.69194945
400	44.61195425
401	44.55614739
402	44.50086647
403	44.42060137
404	44.33845638
405	44.27208312
406	44.20024181
407	44.12265558
408	44.0028655
409	43.9738606
410	43.94236693
411	43.8819233
412	43.81565695
413	43.75935542
414	43.70145781
415	43.66646043
416	43.59204807
417	43.4896838
418	43.43884647
419	43.36081815
420	43.29616982
421	43.24154183
422	43.17996226
423	43.09506865
424	43.01529021
425	42.94412999
426	42.87653957
427	42.76614707
428	42.73676019
429	42.67512981
430	42.61647298
431	42.55347962
432	42.47984822
433	42.43029418
434	42.37145494
435	42.28898982
436	42.24711426
437	42.18430483
438	42.11541754
439	42.00763935
440	41.9328041
441	41.89463105
442	41.84175451
443	41.73569583
444	41.69648888
445	41.63355391
446	41.55731958
447	41.48804351
448	41.43931097
449	41.3843775
450	41.33411783
451	41.29027156
452	41.23687005
453	41.1541503
454	41.0912479
455	41.03652993
456	40.96480925
457	40.89556112
458	40.82228285
459	40.75002587
460	40.68682332
461	40.64025954
462	40.59707698
463	40.54590765
464	40.44297228
465	40.38139841
466	40.30334128
467	40.26694077
468	40.21122052
469	40.17087774
470	40.12667837
471	40.0480393
472	40.01382329
473	39.95139267
474	39.8855335
475	39.84875654
476	39.79794806
477	39.73585394
478	39.68313406
479	39.63110047
480	39.55996661
481	39.50601399
482	39.44754481
483	39.36784193
484	39.32296456
485	39.23087129
486	39.15525955
487	39.1245752
488	39.06626986
489	39.00805202
490	38.95659814
491	38.89823033
492	38.87382718
493	38.84254396
494	38.79911049
495	38.73602726
496	38.69892285
497	38.65047835
498	38.58758404
499	38.54048633
500	38.50554643
501	38.44861662
502	38.37283415
503	38.33961231
504	38.27617993
505	38.22496327
506	38.17413021
507	38.12809235
508	38.06639833
509	37.98903114
510	37.93266234
511	37.87591164
512	37.83371149
513	37.77301439
514	37.70552495
515	37.66093975
516	37.63748396
517	37.60402268
518	37.558548
519	37.51907755
520	37.46020571
521	37.39365053
522	37.35510581
523	37.30343134
524	37.26199695
525	37.22613
526	37.1641093
527	37.11726264
528	37.05017343
529	36.99828545
530	36.93790523
531	36.88583527
532	36.82364381
533	36.7877873
534	36.75862332
535	36.68214382
536	36.61019843
537	36.5648875
538	36.53295062
539	36.49265033
540	36.46290583
541	36.38431619
542	36.32863301
543	36.30189883
544	36.23387086
545	36.18571898
546	36.12081278
547	36.08555736
548	36.03064635
549	35.98592378
550	35.94352493
551	35.88341749
552	35.84573426
553	35.7693828
554	35.71582603
555	35.65067191
556	35.60905185
557	35.56368893
558	35.52409499
559	35.49431509
560	35.46873325
561	35.4321022
562	35.39612104
563	35.34090413
564	35.28353818
565	35.22598512
566	35.2017276
567	35.16152672
568	35.0575956
569	35.03631556
570	34.96655017
571	34.92210935
572	34.85963765
573	34.81712161
574	34.77879872
575	34.74506658
576	34.69452143
577	34.65772326
578	34.61402826
579	34.53963886
580	34.5132097
581	34.46597224
582	34.42177356
583	34.35113135
584	34.3038388
585	34.26060929
586	34.20562034
587	34.16828776
588	34.1306922
589	34.07236007
590	34.04349668
591	33.9913785
592	33.95154683
593	33.90619011
594	33.87835115
595	33.8539107
596	33.82061303
597	33.78857161
598	33.75632636
599	33.68847855
600	33.63643933
601	33.60027295
602	33.56933375
603	33.51383886
604	33.46785916
605	33.41823805
606	33.39306803
607	33.37185987
608	33.35191628
609	33.31175692
610	33.29041252
611	33.2509334
612	33.2128032
613	33.16334797
614	33.12228531
615	33.07471307
616	33.04591999
617	33.01071839
618	32.96765783
619	32.92804161
620	32.89288773
621	32.84733069
622	32.8105055
623	32.78858721
624	32.73526998
625	32.6970501
626	32.66380534
627	32.6419178
628	32.61189365
629	32.58843577
630	32.55526482
631	32.49729542
632	32.46591856
633	32.41575161
634	32.3784728
635	32.34278125
636	32.33081108
637	32.27788033
638	32.22033766
639	32.19637133
640	32.13446065
641	32.10045076
642	32.06749112
643	32.02070057
644	31.99121129
645	31.97122017
646	31.94620846
647	31.89917538
648	31.8489615
649	31.79819467
650	31.7722779
651	31.72617676
652	31.6780331
653	31.64870608
654	31.62353743
655	31.59523735
656	31.5717564
657	31.53885104
658	31.4981343
659	31.45618601
660	31.44631704
661	31.41421247
662	31.37733052
663	31.32700463
664	31.30000108
665	31.27537843
666	31.2489307
667	31.19182199
668	31.15405366
669	31.13057335
670	31.09555024
671	31.05493998
672	31.02145971
673	30.99255683
674	30.941232
675	30.91161107
676	30.89680535
677	30.86122563
678	30.82725608
679	30.80314542
680	30.75954899
681	30.7270479
682	30.69573656
683	30.66897476
684	30.64827148
685	30.61585731
686	30.56491564
687	30.52969073
688	30.4850952
689	30.46282839
690	30.41681483
691	30.37010213
692	30.34895554
693	30.31293501
694	30.25995615
695	30.23315412
696	30.2024579
697	30.17715931
698	30.15316937
699	30.13137429
700	30.10313587
701	30.07329305
702	30.05080495
703	30.00153727
704	29.9718312
705	29.94833444
706	29.91159977
707	29.87055462
708	29.83247783
709	29.79176709
710	29.75958729
711	29.72189894
712	29.68914046
713	29.65210381
714	29.63441391
715	29.60310069
716	29.57126928
717	29.55771003
718	29.51678067
719	29.48147572
720	29.45700688
721	29.43401431
722	29.37802122
723	29.36814456
724	29.31395906
725	29.30194063
726	29.29628507
727	29.24816553
728	29.20598351
729	29.1725903
730	29.15707352
731	29.13288403
732	29.11875744
733	29.08859522
734	29.06297949
735	29.01972008
736	28.98387435
737	28.96097311
738	28.94508783
739	28.93002483
740	28.89337536
741	28.84841859
742	28.81180331
743	28.77096401
744	28.74017248
745	28.70884374
746	28.68735372
747	28.65235443
748	28.62944564
749	28.591693
750	28.55146649
751	28.53910318
752	28.51427859
753	28.48190072
754	28.44088671
755	28.39401632
756	28.35483706
757	28.33927283
758	28.31221308
759	28.28845751
760	28.26891272
761	28.2240196
762	28.19823388
763	28.16684651
764	28.14645524
765	28.11250563
766	28.10343408
767	28.08839041
768	28.03861818
769	28.00246648
770	27.97551526
771	27.9395386
772	27.90078259
773	27.89653967
774	27.87347237
775	27.86372971
776	27.83034169
777	27.81282114
778	27.78975243
779	27.74877936
780	27.72038077
781	27.6743708
782	27.65950214
783	27.62492705
784	27.58989784
785	27.56929385
786	27.53436788
787	27.52567887
788	27.49309712
789	27.45019477
790	27.42282369
791	27.39240431
792	27.37524554
793	27.35962211
794	27.33195639
795	27.29943072
796	27.26696603
797	27.23253851
798	27.19347837
799	27.16470436
800	27.14476505
801	27.11740182
802	27.10500182
803	27.08121641
804	27.06097418
805	27.03438039
806	27.00674006
807	26.97457659
808	26.93921021
809	26.90900367
810	26.86675316
811	26.83631434
812	26.80998292
813	26.79204198
814	26.77771499
815	26.75253127
816	26.72636384
817	26.6974422
818	26.67555692
819	26.64691338
820	26.63150837
821	26.620503
822	26.60050632
823	26.58091696
824	26.54398406
825	26.50239982
826	26.48268986
