iter	Passed	Remaining
403	9528	14056
404	9547	14026
405	9565	13994
406	9586	13966
407	9618	13955
408	9642	13933
409	9662	13904
410	9685	13879
411	9709	13857
412	9731	13831
413	9751	13803
414	9772	13775
415	9792	13747
416	9816	13724
417	9839	13699
418	9862	13675
419	9882	13647
420	9904	13621
421	9925	13593
422	9947	13569
423	9967	13540
424	9989	13515
425	10014	13493
426	10038	13470
427	10063	13449
428	10083	13421
429	10106	13396
430	10126	13368
431	10146	13340
432	10167	13314
433	10189	13289
434	10215	13268
435	10237	13243
436	10260	13219
437	10280	13191
438	10304	13168
439	10325	13141
440	10347	13115
441	10366	13087
442	10388	13061
443	10411	13037
444	10432	13010
445	10454	12985
446	10475	12959
447	10498	12935
448	10522	12912
449	10543	12886
450	10564	12859
451	10584	12832
452	10607	12808
453	10642	12799
454	10665	12775
455	10686	12748
456	10711	12726
457	10733	12701
458	10755	12676
459	10775	12649
460	10797	12624
461	10827	12609
462	10848	12582
463	10870	12557
464	10890	12530
465	10913	12506
466	10935	12480
467	10954	12452
468	10973	12424
469	11001	12405
470	11022	12380
471	11044	12355
472	11064	12327
473	11084	12300
474	11108	12277
475	11129	12251
476	11155	12231
477	11178	12207
478	11202	12184
479	11229	12164
480	11252	12141
481	11274	12116
482	11297	12092
483	11317	12066
484	11338	12039
485	11358	12013
486	11381	11988
487	11404	11965
488	11426	11940
489	11445	11912
490	11466	11886
491	11488	11861
492	11511	11837
493	11532	11812
494	11554	11787
495	11577	11763
496	11599	11739
497	11622	11715
498	11646	11692
499	11672	11672
500	11692	11645
501	11715	11622
502	11737	11597
503	11758	11571
504	11778	11545
505	11802	11523
506	11825	11499
507	11848	11475
508	11869	11450
509	11892	11426
510	11925	11412
511	11952	11392
512	11975	11368
513	12000	11346
514	12038	11336
515	12067	11319
516	12094	11299
517	12117	11274
518	12142	11253
519	12163	11227
520	12181	11199
521	12203	11174
522	12227	11152
523	12249	11127
524	12269	11100
525	12291	11076
526	12318	11056
527	12341	11032
528	12363	11008
529	12384	10982
530	12407	10959
531	12431	10935
532	12453	10911
533	12474	10886
534	12494	10860
535	12523	10840
536	12544	10816
537	12564	10789
538	12585	10764
539	12609	10741
540	12633	10718
541	12654	10693
542	12678	10670
543	12714	10657
544	12735	10632
545	12754	10605
546	12775	10579
547	12794	10553
548	12818	10530
549	12844	10509
550	12865	10484
551	12890	10462
552	12912	10437
553	12936	10414
554	12956	10388
555	12977	10363
556	12998	10338
557	13019	10312
558	13041	10288
559	13061	10262
560	13084	10238
561	13105	10213
562	13127	10189
563	13148	10164
564	13168	10138
565	13188	10112
566	13210	10088
567	13234	10065
568	13255	10040
569	13277	10016
570	13299	9992
571	13321	9967
572	13342	9942
573	13362	9916
574	13381	9890
575	13402	9865
576	13426	9842
577	13452	9821
578	13472	9796
579	13492	9770
580	13515	9747
581	13539	9723
582	13558	9698
583	13578	9672
584	13598	9647
585	13628	9628
586	13648	9602
587	13667	9576
588	13690	9553
589	13720	9534
590	13742	9510
591	13764	9486
592	13783	9460
593	13810	9439
594	13832	9415
595	13851	9389
596	13870	9363
597	13893	9339
598	13914	9315
599	13937	9291
600	13957	9265
601	13977	9240
602	14001	9218
603	14023	9194
604	14045	9170
605	14065	9144
606	14085	9119
607	14108	9096
608	14130	9072
609	14151	9047
610	14173	9023
611	14194	8999
612	14217	8976
613	14240	8952
614	14260	8927
615	14281	8902
616	14301	8877
617	14322	8853
618	14371	8845
619	14396	8823
620	14418	8799
621	14439	8775
622	14462	8751
623	14481	8726
624	14502	8701
625	14523	8677
626	14547	8653
627	14571	8631
628	14590	8606
629	14614	8583
630	14636	8559
631	14660	8536
632	14681	8511
633	14701	8487
634	14730	8467
635	14762	8448
636	14782	8423
637	14804	8399
638	14827	8376
639	14849	8353
640	14870	8328
641	14890	8303
642	14911	8279
643	14934	8255
644	14958	8233
645	14978	8208
646	15001	8184
647	15026	8162
648	15052	8140
649	15073	8116
650	15094	8092
651	15117	8068
652	15141	8045
653	15162	8021
